💰打赏作者,#genre#
打赏码,https://vd2.bdstatic.com/mda-qivka04r8e081s1w/sc/cae_h264/1727706727188956357/mda-qivka04r8e081s1w.mp4?v_from_s=bdapp-bdappcore-feed-hbf
2,https://10525.kstore.space/%E8%B5%9E%E8%B5%8F%E7%A0%81.mp4

阿森直播公告,#genre#
阿森直播公告,https://vdse.bdstatic.com/h265/bdfaa7e1f0f0179e53e2de217045db2d51.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=19&logid=11554808897540394202&vt=-1&svt=-1&cr_max=1&s_score=-1.000000&pt=0&av=17.2&vid=13158760967036345665&mvt=-1&did=a8bea46bcde700ece9c4a15b8888b7a9&cr=1&h265_s=1&sl=318&sle=1&split=642641
买盒子找阿森,https://vd3.bdstatic.com/mda-qge56sybfgmqnci5/hd/cae_h264/1721015062260073981/mda-qge56sybfgmqnci5.mp4?pd=19&vt=1
人走盒还在,https://vdse.bdstatic.com//fe57cd739a668f046561f8f080ebe63e.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-05T16%3A02%3A20Z%2F-
快手号+微信号,https://vd3.bdstatic.com/mda-maqxxg1hrznsdf1a/v1-cae/1080p/mda-maqxxg1hrznsdf1a.mp4
WX1530796160,https://vd3.bdstatic.com/mda-ka59e4w0qxxsxnt0//mda-ka59e4w0qxxsxnt0.mp4?pd=19&vt=1
晶晨S905L3A,https://vd2.bdstatic.com/mda-jf9c1fkgucw29pg8/sc/mda-jf9c1fkgucw29pg8.mp4
2+8内存,https://vd4.bdstatic.com/mda-mcm1j9nnz5xxyhar/720p/h264_cae/1621016873537262108/mda-mcm1j9nnz5xxyhar.mp4
安卓9系统,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_51674527&response=res&format=mp4&type=convert_url
还有2+32,https://vdse.bdstatic.com//7002925e04c4c451cfa8aafc9b4190c7.mp4
大内存,https://txmov2.a.kwimgs.com/upic/2022/03/21/19/BMjAyMjAzMjExOTA2MjRfMjYyNzI4Mjc4MV83MDE2MTEwMjY1Ml8yXzM=_b_B977559109a6b2bec30b01e11d458d398.mp4
盒子介绍视频,https://vd3.bdstatic.com/mda-qivkimagb019jrr5/sc/cae_h264/1727707792384144463/mda-qivkimagb019jrr5.mp4?v_from_s=bdapp-resbox-hbf
盒子介绍视频2线路,https://10525.kstore.space/%E4%B8%AD%E5%85%B4b863av3.1m2%E7%9B%92%E5%AD%90%E4%BB%8B%E7%BB%8D.mp4

IPV4央视,#genre#
CCTV-01,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-1-HQ/G_CCTV-1-HQ.m3u8
CCTV-02,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-2-HQ/G_CCTV-2-HQ.m3u8
CCTV-03,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8
CCTV-04,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-4-HQ/G_CCTV-4-HQ.m3u8
CCTV-05,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8
CCTV-5+,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ.m3u8
CCTV-06,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-6-HQ/G_CCTV-6-HQ.m3u8
CCTV-07,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8
CCTV-08,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-8-HQ/G_CCTV-8-HQ.m3u8
CCTV-09,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-9-HQ/G_CCTV-9-HQ.m3u8
CCTV-10,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-10-HQ/G_CCTV-10-HQ.m3u8
CCTV-11,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-11-HQ/G_CCTV-11-HQ.m3u8
CCTV-12,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-12-HQ/G_CCTV-12-HQ.m3u8
CCTV-13,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8
CCTV-14,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-14-HQ/G_CCTV-14-HQ.m3u8
CCTV-15,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-15-HQ/G_CCTV-15-HQ.m3u8
CCTV-16,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-16-HQ/G_CCTV-16-HQ.m3u8
CCTV-17,http://gdctcc-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-17-HQ/G_CCTV-17-HQ.m3u8

IPV4卫视,#genre#
山东卫视,http://fangke.blueswords.com:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://fangke.blueswords.com:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://fangke.blueswords.com:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://fangke.blueswords.com:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://fangke.blueswords.com:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://fangke.blueswords.com:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://fangke.blueswords.com:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://fangke.blueswords.com:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://fangke.blueswords.com:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://fangke.blueswords.com:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://fangke.blueswords.com:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://fangke.blueswords.com:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://fangke.blueswords.com:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://fangke.blueswords.com:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://fangke.blueswords.com:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://fangke.blueswords.com:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://fangke.blueswords.com:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://fangke.blueswords.com:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://fangke.blueswords.com:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://fangke.blueswords.com:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://fangke.blueswords.com:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
山东体育,http://fangke.blueswords.com:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://fangke.blueswords.com:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.113:5002
甘肃卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.30:5002
广东卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.116:5002
广西卫视,http://zisong2014.oicp.net:4022/udp/225.1.2.81:5002
贵州卫视,http://zisong2014.oicp.net:4022/udp/225.1.2.28:5002
海南卫视,http://zisong2014.oicp.net:4022/udp/225.1.2.82:5002
河北卫视,http://zisong2014.oicp.net:4022/udp/225.1.2.27:5002
河南卫视,http://zisong2014.oicp.net:4022/udp/225.1.2.61:5002
黑龙江卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.115:5002
湖北卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.147:5002
湖南卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.114:5002
吉林卫视,http://zisong2014.oicp.net:4022/udp/225.1.2.26:5002
江苏卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.126:5002
江西卫视,http://zisong2014.oicp.net:4022/udp/225.1.2.29:5002
辽宁卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.154:5002
内蒙古卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.32:5002
宁夏卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.56:5002
三沙卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.182:5002
山东卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.148:5002
山西卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.50:5002
陕西卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.41:5002
东方卫视,http://zisong2014.oicp.net:4022/udp/225.1.2.31:5002
深圳卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.117:5002
四川卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.123:5002
天津卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.111:5002
天津都市,http://zisong2014.oicp.net:4022/udp/225.1.1.128:5002
天津影视,http://zisong2014.oicp.net:4022/udp/225.1.1.149:5002
浙江卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.112:5002
重庆卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.155:5002
兵团卫视,http://zisong2014.oicp.net:4022/udp/225.1.1.57:5002

湖南卫视,http://115.60.241.249:2000/rtp/225.1.4.82:1111
江苏卫视,http://115.60.241.249:2000/rtp/225.1.4.83:1112
浙江卫视,http://115.60.241.249:2000/rtp/225.1.4.84:1113
北京卫视,http://115.60.241.249:2000/rtp/225.1.4.81:1110
东方卫视,http://115.60.241.249:2000/rtp/225.1.4.85:1114
天津卫视,http://115.60.241.249:2000/rtp/225.1.4.86:1115
山东卫视,http://115.60.241.249:2000/rtp/225.1.4.88:1117
安徽卫视,http://115.60.241.249:2000/rtp/225.1.4.87:1116
深圳卫视,http://115.60.241.249:2000/rtp/225.1.4.90:1119
江西卫视,http://115.60.241.249:2000/rtp/225.1.4.139:1305
湖北卫视,http://115.60.241.249:2000/rtp/225.1.4.89:1118
四川卫视,http://115.60.241.249:2000/rtp/225.1.4.151:1306
黑龙江卫视,http://115.60.241.249:2000/rtp/225.1.4.91:1120
云南卫视,http://115.60.241.249:2000/rtp/225.1.4.152:1307
贵州卫视,http://115.60.241.249:2000/rtp/225.1.4.122:1302
辽宁卫视,http://115.60.241.249:2000/rtp/225.1.4.167:1208
东南卫视,http://115.60.241.249:2000/rtp/225.1.4.228:1274
重庆卫视,http://115.60.241.249:2000/rtp/225.1.4.157:1308
广东卫视,http://115.60.241.249:2000/rtp/225.1.4.166:1207
广西卫视,http://115.60.241.249:2000/rtp/225.1.4.31:1060
